"","N_B_RNA3","N_B_RNA5","M_W_RNA6","N_B_RNA10","N_B_RNA11","M_W_RNA12","M_W_RNA14","M_W_RNA16","M_W_RNA17"
"ENSG00000136710.9",258,726,432,614,770,235,624,529,740
"ENSG00000136718.9",143,654,638,550,893,560,440,481,738
"ENSG00000072135.12",500,1790,2127,1197,2121,1552,1353,1224,1210
"ENSG00000178162.8",75,898,179,349,854,1456,414,26,497
"ENSG00000230646.1",0,1,0,0,0,0,4,0,0
"ENSG00000239402.3",85,155,57,210,333,161,160,22,234
"ENSG00000196834.11",120,1911,390,761,2645,2106,708,68,1028
"ENSG00000251973.1",0,6,0,0,0,0,2,0,15
"ENSG00000225819.1",0,0,0,6,0,0,1,0,0
"ENSG00000274711.1",0,1,0,0,0,0,0,0,0
"ENSG00000152093.7",0,13,0,0,0,0,1,0,1
"ENSG00000225341.1",0,0,0,0,0,0,0,0,0
"ENSG00000184761.8",0,0,0,0,0,0,0,0,0
"ENSG00000183292.13",0,0,0,0,0,0,0,0,0
"ENSG00000232408.1",0,0,0,0,0,0,0,0,0
"ENSG00000136698.8",2,13,3,20,37,3,17,2,18
"ENSG00000277668.1",0,0,0,3,5,0,1,1,0
"ENSG00000222038.3",74,210,308,744,1928,949,256,41,341
"ENSG00000251757.1",0,5,2,4,39,26,8,5,7
"ENSG00000214081.8",53,179,56,123,289,8,101,8,133
"ENSG00000282944.1",0,20,39,59,197,77,29,4,30
"ENSG00000240253.5",9,153,71,364,808,192,317,25,374
"ENSG00000223349.1",0,0,0,0,0,0,1,0,0
"ENSG00000173302.5",0,0,0,0,0,0,0,0,0
"ENSG00000229797.1",0,0,0,0,0,0,0,0,0
"ENSG00000178171.10",0,0,0,2,3,4,8,0,7
"ENSG00000232503.1",0,0,0,0,0,0,0,0,0
"ENSG00000233221.6",0,7,8,8,14,0,4,10,3
"ENSG00000136002.18",92,260,200,193,251,24,221,96,145
"ENSG00000281159.1",0,0,0,0,0,0,0,0,0
"ENSG00000281516.1",0,0,0,0,0,0,0,0,0
"ENSG00000284479.1",0,0,0,0,0,0,0,0,0
"ENSG00000152102.17",703,3137,3048,2590,3556,2915,2258,3454,3430
"ENSG00000115762.16",820,3890,4297,3958,5413,2893,2693,3272,4758
"ENSG00000230450.1",0,0,0,3,1,20,8,1,19
"ENSG00000225448.1",0,0,0,0,0,0,0,0,0
"ENSG00000236956.2",0,0,0,0,0,0,0,0,0
"ENSG00000285819.1",0,0,0,0,0,0,0,0,0
"ENSG00000248796.1",0,0,0,0,4,0,0,0,0
"ENSG00000188219.14",163,1539,1276,1071,4285,2901,816,41,685
"ENSG00000212199.1",0,14,12,3,15,37,2,0,7
"ENSG00000231431.7",81,752,637,607,1619,872,412,30,320
"ENSG00000236516.1",0,0,0,0,0,0,2,0,0
"ENSG00000284604.1",0,0,0,0,0,0,0,0,2
"ENSG00000227817.4",0,0,1,0,0,0,0,0,1
"ENSG00000284706.1",4,1,3,15,12,0,2,0,3
"ENSG00000224425.2",0,0,9,0,11,0,2,3,1
"ENSG00000233087.7",0,112,199,134,291,317,81,27,74
"ENSG00000283303.1",0,32,34,43,49,22,20,0,15
"ENSG00000233285.1",0,0,0,0,0,0,0,0,0
"ENSG00000227275.1",0,0,0,0,0,0,0,0,0
"ENSG00000235080.2",0,0,0,0,0,0,0,0,0
"ENSG00000231777.1",0,0,0,0,0,0,0,0,0
"ENSG00000284003.1",0,0,0,0,0,0,0,0,0
"ENSG00000283865.1",0,0,0,0,0,0,0,0,0
"ENSG00000227661.1",0,0,0,0,0,0,0,0,0
"ENSG00000236590.1",0,0,0,0,0,0,0,0,0
"ENSG00000234480.1",0,0,0,0,0,0,0,0,0
"ENSG00000237910.1",0,0,0,0,0,0,0,0,0
"ENSG00000234939.1",0,0,0,0,0,0,0,0,0
"ENSG00000234576.2",0,0,0,0,0,0,0,0,0
"ENSG00000226831.1",0,0,0,0,0,0,0,0,0
"ENSG00000276460.1",0,0,0,0,0,0,0,0,0
"ENSG00000223631.1",0,0,0,0,0,0,0,0,1
"ENSG00000284659.1",0,0,2,0,12,0,3,0,2
"ENSG00000214077.4",1,26,4,17,21,0,9,0,20
"ENSG00000217950.4",0,3,1,1,3,0,0,0,0
"ENSG00000232742.3",0,2,5,3,2,15,0,1,2
"ENSG00000273073.1",0,0,0,10,4,24,3,0,0
"ENSG00000173272.15",92,272,329,209,334,67,199,225,162
"ENSG00000075886.10",92,213,266,228,334,32,147,46,1873
"ENSG00000284149.1",0,0,0,0,0,0,0,0,0
"ENSG00000152117.17",142,321,405,425,346,38,391,237,317
"ENSG00000163040.14",78,222,215,345,300,16,194,27,176
"ENSG00000224679.1",0,0,0,0,0,0,0,0,0
"ENSG00000204434.5",21,121,137,90,127,19,95,1,79
"ENSG00000251956.1",0,2,2,0,0,11,0,0,0
"ENSG00000273588.1",0,14,19,21,47,20,9,3,16
"ENSG00000224559.2",7,36,83,53,176,13,22,1,40
"ENSG00000270930.1",0,0,0,0,0,0,2,0,0
"ENSG00000197927.12",66,81,18,115,324,196,145,132,113
"ENSG00000213222.3",0,0,3,0,0,0,0,0,0
"ENSG00000186825.5",0,0,1,0,0,0,0,0,0
"ENSG00000274353.1",0,0,0,0,0,0,0,0,0
"ENSG00000229203.1",0,0,0,0,0,0,0,0,1
"ENSG00000232760.1",0,1,0,0,2,0,0,0,0
"ENSG00000244337.2",0,0,0,0,0,0,0,0,0
"ENSG00000235615.2",0,0,0,0,0,0,0,0,0
"ENSG00000236485.1",0,0,0,0,0,0,0,0,0
"ENSG00000226886.1",0,0,0,0,0,0,0,0,0
"ENSG00000271179.1",0,0,0,0,0,0,0,0,0
"ENSG00000225594.1",0,0,0,0,0,0,0,0,0
"ENSG00000227745.1",0,1,6,1,3,0,1,1,0
"ENSG00000163046.15",0,2,13,1,6,0,4,4,5
"ENSG00000239108.1",0,0,0,0,0,0,0,0,0
"ENSG00000202174.1",0,0,0,0,0,0,0,0,0
"ENSG00000221288.1",0,0,0,0,0,0,0,0,0
"ENSG00000233786.1",1,3,0,0,0,0,1,0,0
"ENSG00000230803.1",0,0,0,0,0,0,0,2,0
"ENSG00000018607.6",0,0,0,0,0,0,0,0,1
"ENSG00000272769.1",0,0,0,4,0,0,1,1,0
"ENSG00000230992.3",0,2,0,0,0,0,0,0,0
"ENSG00000252705.1",0,0,0,0,0,0,0,0,0
"ENSG00000183840.6",19,47,11,44,24,39,46,23,68
"ENSG00000232349.2",0,0,0,0,0,0,0,0,0
"ENSG00000200718.1",0,1,0,0,1,0,0,0,0
"ENSG00000150551.10",31,6,9,5,2,13,2,26,9
"ENSG00000230065.1",0,2,0,0,0,0,0,0,0
"ENSG00000176771.16",23,198,587,225,606,811,211,177,177
"ENSG00000228721.1",0,1,0,0,2,0,1,0,0
"ENSG00000233729.1",0,0,0,0,0,0,0,0,0
"ENSG00000279512.1",0,0,0,0,0,0,0,0,1
"ENSG00000226953.7",0,0,0,1,3,0,0,0,0
"ENSG00000252688.1",0,0,0,0,0,0,0,0,0
"ENSG00000222068.1",0,0,3,3,7,0,0,0,0
"ENSG00000232474.1",0,7,7,12,2,16,3,10,1
"ENSG00000223430.1",0,0,3,0,0,0,0,0,0
"ENSG00000200708.1",0,0,0,0,0,0,0,0,0
"ENSG00000152127.8",826,1676,1371,1253,1833,1373,1145,2563,1420
"ENSG00000263813.1",0,6,0,1,6,0,4,6,8
"ENSG00000222921.1",0,0,0,0,0,0,4,0,0
"ENSG00000234060.1",0,0,0,0,0,0,0,0,0
"ENSG00000152128.13",4,8,7,5,5,0,8,6,9
"ENSG00000224043.7",26,63,61,47,104,81,65,34,50
"ENSG00000234682.1",0,0,0,0,0,0,0,0,0
"ENSG00000228098.1",0,0,0,0,0,0,0,0,0
"ENSG00000153086.13",0,0,0,0,0,0,0,0,0
"ENSG00000263783.1",0,0,0,0,0,0,0,0,0
"ENSG00000082258.12",492,2972,2010,2920,4247,3438,2088,2086,3148
"ENSG00000176601.12",0,0,8,0,26,30,1,4,3
"ENSG00000115839.17",691,2969,1846,2530,3401,3172,1839,1640,3274
"ENSG00000208308.1",2,50,114,51,169,1033,285,39,56
"ENSG00000121988.17",142,488,274,347,579,577,249,404,420
"ENSG00000235651.1",3,5,2,16,11,1,8,16,12
"ENSG00000048991.16",193,789,608,684,1129,1607,678,997,963
"ENSG00000201308.1",0,0,0,0,0,0,0,0,0
"ENSG00000207654.4",12,1,0,1,0,0,1,0,4
"ENSG00000144224.16",823,5833,4934,5013,9297,9092,3884,5303,6238
"ENSG00000115850.9",0,0,2,1,0,0,0,1,0
"ENSG00000200664.1",0,0,0,0,0,0,0,0,0
"ENSG00000226806.1",0,0,0,0,0,0,0,0,0
"ENSG00000076003.4",222,811,349,477,491,491,355,528,489
"ENSG00000214070.3",0,0,0,0,0,0,0,0,0
"ENSG00000115866.10",470,2583,2183,2230,4093,3315,1626,2042,2559
"ENSG00000231890.7",6,46,47,43,17,139,38,51,54
"ENSG00000237262.1",0,0,0,0,0,0,0,0,0
"ENSG00000121966.6",540,336,270,463,155,259,379,238,291
"ENSG00000227347.1",3,10,4,6,10,2,4,7,3
"ENSG00000279024.1",0,0,0,0,0,0,2,1,3
"ENSG00000230037.1",2,0,0,0,0,0,0,0,1
"ENSG00000251976.1",0,0,0,0,0,0,0,0,0
"ENSG00000229568.1",0,0,0,0,0,0,0,0,0
"ENSG00000144229.11",119,199,8,49,128,45,115,20,64
"ENSG00000212425.1",0,0,0,0,0,0,0,0,0
"ENSG00000222394.2",0,0,0,0,0,0,0,0,0
"ENSG00000150540.13",307,1257,847,1232,2440,1652,910,1660,1579
"ENSG00000224231.1",0,0,0,0,0,0,0,0,0
"ENSG00000233045.1",1,1,0,0,1,0,0,0,0
"ENSG00000234645.3",15,1,6,4,15,1,4,5,12
"ENSG00000237939.1",0,1,0,0,1,0,1,0,0
"ENSG00000232915.1",0,19,2,10,11,4,9,10,8
"ENSG00000228043.5",17,38,17,46,32,18,14,31,42
"ENSG00000230569.1",0,0,0,0,0,0,0,0,0
"ENSG00000144228.8",285,1684,1233,1610,2085,2668,1245,2020,1659
"ENSG00000241772.2",4,9,2,4,8,30,2,7,12
"ENSG00000260059.1",0,0,0,1,0,0,2,0,0
"ENSG00000237772.1",0,0,0,0,0,0,0,0,0
"ENSG00000144227.4",0,0,0,0,0,0,2,0,0
"ENSG00000222826.1",0,0,0,0,0,0,0,0,0
"ENSG00000229104.1",0,0,0,0,0,0,0,0,0
"ENSG00000232992.2",0,0,0,0,0,0,0,0,0
"ENSG00000226939.1",0,0,0,0,0,0,0,0,0
"ENSG00000229131.1",0,0,0,0,0,0,0,0,0
"ENSG00000206901.1",0,0,0,0,0,0,0,0,0
"ENSG00000235232.1",0,0,0,0,0,0,0,0,0
"ENSG00000228374.1",0,0,0,0,0,0,0,0,0
"ENSG00000223554.1",0,0,0,0,0,0,0,0,0
"ENSG00000240977.3",0,0,0,0,0,0,0,0,0
"ENSG00000224028.1",0,0,0,0,0,0,0,0,0
"ENSG00000227149.1",0,0,0,0,0,0,0,0,0
"ENSG00000231567.1",0,0,0,0,0,0,0,0,0
"ENSG00000223921.1",0,0,0,0,0,0,0,0,0
"ENSG00000168702.17",87,394,65,186,49,23,179,19,268
"ENSG00000277306.1",0,0,0,0,0,0,0,0,0
"ENSG00000283506.1",0,1,0,0,0,0,0,0,0
"ENSG00000236440.1",0,0,0,0,1,0,0,0,0
"ENSG00000238065.1",0,0,0,0,0,0,0,0,0
"ENSG00000201892.1",0,0,0,0,0,0,0,0,0
"ENSG00000252015.1",0,0,0,0,0,5,0,0,1
"ENSG00000233329.1",0,0,0,0,0,0,0,0,0
"ENSG00000244125.1",0,0,0,0,0,0,0,0,0
"ENSG00000228134.1",0,0,0,0,0,0,0,0,0
"ENSG00000229781.1",0,0,0,0,0,0,0,0,0
"ENSG00000115919.14",14,63,27,57,31,99,80,27,51
"ENSG00000270390.1",0,0,0,0,0,0,0,0,0
"ENSG00000075884.13",76,178,43,86,66,86,157,55,121
"ENSG00000224288.2",0,0,0,0,0,0,0,0,0
"ENSG00000226839.1",0,0,0,0,0,0,0,0,0
"ENSG00000224852.1",0,0,0,0,0,0,0,0,0
"ENSG00000232772.1",0,0,0,0,0,0,0,0,0
"ENSG00000236300.2",0,0,0,0,0,0,0,0,0
"ENSG00000227557.1",0,0,0,0,0,0,0,0,0
"ENSG00000225476.1",0,0,0,0,0,0,0,0,0
"ENSG00000284167.1",0,0,0,0,0,0,0,0,0
"ENSG00000231766.1",0,0,0,0,0,0,0,0,0
"ENSG00000257284.1",0,0,0,0,0,0,0,0,0
"ENSG00000228655.6",0,0,0,0,0,0,0,0,0
"ENSG00000257640.1",0,0,0,0,0,0,0,0,0
"ENSG00000258268.1",0,0,0,0,0,0,0,0,0
"ENSG00000283994.1",0,3,2,2,3,4,5,1,8
"ENSG00000231758.2",0,0,0,0,0,0,0,0,0
"ENSG00000257277.1",0,0,0,0,0,0,0,0,1
"ENSG00000257226.1",0,0,0,0,0,0,0,0,0
"ENSG00000236356.1",0,0,0,0,0,0,0,0,0
"ENSG00000200287.1",0,0,0,0,0,0,0,0,0
"ENSG00000232377.1",0,1,0,0,0,0,0,0,0
"ENSG00000121964.14",145,725,443,509,806,757,427,309,473
"ENSG00000169554.19",549,2338,487,718,417,1165,837,325,717
"ENSG00000283118.1",0,0,0,0,0,0,0,0,0
"ENSG00000279166.1",10,43,36,28,23,48,59,24,38
"ENSG00000238057.9",0,2,0,0,0,0,9,4,2
"ENSG00000275372.1",0,0,0,0,0,0,0,0,0
"ENSG00000273537.1",0,0,0,0,0,0,0,0,0
"ENSG00000277444.1",0,0,0,0,0,0,0,0,0
"ENSG00000232606.1",0,0,0,0,0,0,0,0,0
"ENSG00000226674.9",0,14,14,24,7,8,18,3,15
"ENSG00000234940.1",0,0,0,0,0,0,0,0,0
"ENSG00000276706.1",0,0,0,0,0,0,0,0,0
"ENSG00000235352.1",0,0,0,0,0,0,0,0,0
"ENSG00000268580.1",0,0,0,0,0,0,0,0,0
"ENSG00000235435.1",0,0,0,0,0,0,0,0,0
"ENSG00000214064.3",0,0,0,0,0,0,0,0,0
"ENSG00000225107.1",0,0,0,0,0,0,0,1,0
"ENSG00000226218.1",0,0,0,0,0,0,1,0,0
"ENSG00000234119.1",0,0,0,0,0,0,0,0,0
"ENSG00000279876.1",0,0,0,0,0,0,0,0,0
"ENSG00000233842.1",0,0,0,0,0,0,0,0,0
"ENSG00000251905.1",0,0,0,0,0,0,0,0,0
"ENSG00000230559.1",0,0,0,0,0,0,0,0,0
"ENSG00000227134.1",0,0,0,0,0,0,0,0,0
"ENSG00000198526.7",0,0,0,0,0,0,0,0,0
"ENSG00000271583.1",0,0,1,0,0,0,0,0,0
"ENSG00000231040.1",0,0,0,0,0,0,0,0,0
"ENSG00000227902.2",0,0,0,0,0,0,0,0,0
"ENSG00000207225.1",0,0,0,0,0,0,0,0,0
"ENSG00000207161.1",0,0,0,0,0,0,0,0,1
"ENSG00000202074.1",0,0,0,0,0,0,0,0,0
"ENSG00000253083.1",0,0,0,0,0,0,0,0,0
"ENSG00000229143.1",0,0,0,0,0,0,0,0,0
"ENSG00000121989.14",248,2366,1060,1373,2292,1136,817,1032,1560
"ENSG00000212389.1",0,14,3,10,8,9,3,1,22
"ENSG00000223911.1",0,0,0,0,0,0,0,0,0
"ENSG00000115947.13",230,1676,1073,1410,2296,1301,1054,1389,1556
"ENSG00000204406.13",478,1883,1012,1575,1817,1224,1402,1297,1684
"ENSG00000281469.1",0,70,17,63,90,76,40,57,68
"ENSG00000281772.1",0,3,3,3,5,0,11,11,3
"ENSG00000212181.1",0,0,0,0,0,0,0,0,0
"ENSG00000224007.1",0,0,0,0,0,0,0,0,0
"ENSG00000232238.1",0,0,0,0,0,0,0,0,0
"ENSG00000135999.11",374,1883,1423,1761,2044,1970,1525,1162,1924
"ENSG00000222126.1",0,0,0,0,0,0,0,0,0
"ENSG00000223962.1",0,0,0,0,0,0,0,0,0
"ENSG00000231079.7",12,0,1,0,0,0,1,0,6
"ENSG00000228848.3",0,2,6,1,1,0,2,2,0
"ENSG00000226340.1",0,4,11,5,12,27,2,1,4
"ENSG00000168280.16",819,8591,8270,8366,14331,9986,5404,3671,9527
"ENSG00000150556.16",6,236,106,369,93,4,157,19,517
"ENSG00000228236.2",0,0,0,0,0,0,0,0,0
"ENSG00000224337.1",0,0,0,0,0,0,0,1,0
"ENSG00000187123.14",55,196,250,123,237,90,73,46,123
"ENSG00000223604.1",0,0,0,0,5,0,0,1,0
"ENSG00000168288.12",370,2062,2067,2038,3296,2049,1212,2192,2408
"ENSG00000231969.1",5,0,8,14,3,0,7,9,8
"ENSG00000207270.1",0,0,0,0,0,0,0,0,0
"ENSG00000162947.4",0,6,0,5,2,0,1,1,4
"ENSG00000230645.1",0,0,0,0,0,0,0,0,0
"ENSG00000231420.1",0,0,0,0,0,0,0,0,0
"ENSG00000115963.13",400,1358,1047,1072,814,636,1036,265,2018
"ENSG00000236049.1",0,0,0,0,0,0,0,0,0
"ENSG00000237220.1",0,0,0,0,0,0,0,0,0
"ENSG00000232359.1",0,0,0,0,0,0,0,0,1
"ENSG00000224048.5",0,0,0,0,0,0,0,0,0
"ENSG00000228064.1",0,0,0,0,0,0,0,0,0
"ENSG00000222031.1",0,0,0,0,0,0,0,0,0
"ENSG00000236885.1",0,0,0,0,0,0,0,0,0
"ENSG00000213201.3",0,0,0,0,0,0,0,0,0
"ENSG00000184898.6",92,632,268,430,497,684,354,258,491
"ENSG00000123609.10",137,324,153,203,271,309,201,100,292
"ENSG00000123610.4",21,3,24,0,0,0,13,1,6
"ENSG00000283569.1",0,0,0,0,0,0,0,0,0
"ENSG00000264684.1",0,0,0,0,0,0,0,0,0
"ENSG00000242113.3",0,0,0,0,0,0,0,0,0
"ENSG00000080345.17",783,6005,4157,5763,7427,9148,4602,5111,6648
"ENSG00000183091.19",116,140,2631,758,709,261,518,317,8668
"ENSG00000162980.16",63,1808,1582,1352,3028,3871,1216,1381,1550
"ENSG00000283228.1",0,0,0,0,0,0,0,0,0
"ENSG00000182389.19",62,615,140,546,1108,608,432,182,697
"ENSG00000225214.1",0,1,0,0,0,0,0,0,0
"ENSG00000115145.9",520,3169,2539,2734,5670,5386,2184,2194,3197
"ENSG00000234272.1",0,0,0,0,0,0,0,0,0
"ENSG00000199884.1",0,0,0,0,0,0,0,0,0
"ENSG00000157827.19",394,868,1085,789,1324,1118,934,2571,1203
"ENSG00000213197.3",9,7,11,29,22,10,46,16,24
"ENSG00000270776.1",0,0,0,0,0,0,0,0,0
"ENSG00000196504.16",707,5074,3687,4288,6599,8556,3607,3547,5181
"ENSG00000177917.10",26,297,146,248,364,182,163,149,311
"ENSG00000234932.2",0,0,0,0,0,0,0,0,0
"ENSG00000226213.1",0,0,0,0,0,0,0,0,0
"ENSG00000214025.2",8,0,0,0,0,0,0,0,0
"ENSG00000224612.1",0,0,0,0,0,0,0,0,0
"ENSG00000226338.1",0,0,0,0,0,0,0,0,0
"ENSG00000227708.1",0,0,0,0,0,0,0,0,0
"ENSG00000214024.2",0,0,0,0,0,0,1,0,0
"ENSG00000242575.1",0,3,0,0,0,0,2,0,0
"ENSG00000227400.2",0,0,0,0,0,0,0,0,0
"ENSG00000200377.1",0,0,0,0,0,0,0,0,0
"ENSG00000177519.3",7,23,9,1,10,0,40,7,26
"ENSG00000236917.1",0,0,0,0,0,0,0,0,0
"ENSG00000144278.14",14,348,187,31,26,469,84,31,94
"ENSG00000230251.1",0,0,0,0,0,0,1,0,0
"ENSG00000224675.1",0,0,0,0,0,0,0,0,0
"ENSG00000238004.1",0,0,0,0,0,0,0,0,0
"ENSG00000223290.1",0,0,0,0,0,0,0,0,0
"ENSG00000235949.1",0,0,2,0,0,0,0,0,1
"ENSG00000162989.4",145,1270,327,142,50,50,186,13,182
"ENSG00000228837.2",18,0,0,0,0,0,0,0,0
"ENSG00000230991.1",0,20,0,1,0,0,1,0,0
"ENSG00000223197.1",0,0,0,0,0,0,0,0,0
"ENSG00000232982.1",0,0,0,0,0,0,0,0,0
"ENSG00000229701.1",0,0,0,0,0,0,0,0,0
"ENSG00000227682.2",0,0,1,0,0,0,0,0,0
"ENSG00000233709.1",0,0,0,0,0,0,0,0,0
"ENSG00000233039.1",0,0,0,0,0,0,0,0,0
"ENSG00000233248.1",0,0,0,0,0,0,1,0,0
"ENSG00000229935.1",0,0,0,0,0,0,0,0,0
"ENSG00000206718.1",0,0,0,0,0,0,0,0,0
"ENSG00000226383.6",0,98,58,250,116,46,48,422,239
"ENSG00000235548.1",0,13,2,25,11,14,7,23,21
"ENSG00000282440.1",0,0,0,0,0,0,0,0,0
"ENSG00000153234.13",117,677,376,905,178,47,350,473,227
"ENSG00000115159.15",460,2869,2751,2814,4370,3142,1666,2232,2893
"ENSG00000283436.1",0,0,0,1,0,0,0,0,4
"ENSG00000238069.1",0,0,0,0,0,0,0,0,0
"ENSG00000213194.3",0,1,0,0,1,0,1,0,0
"ENSG00000136542.8",127,274,40,449,414,163,196,122,674
"ENSG00000222404.1",0,0,0,0,0,0,0,0,0
"ENSG00000136541.14",12,8,1,10,0,0,3,1,1
"ENSG00000230562.3",1,3,1,3,3,10,3,2,9
"ENSG00000115165.9",162,138,110,112,88,85,114,73,142
"ENSG00000123612.15",21,146,62,37,20,157,21,18,24
"ENSG00000234584.1",0,6,11,9,9,35,7,4,21
"ENSG00000115170.13",129,979,759,573,863,1113,612,511,830
"ENSG00000007001.12",0,7,2,2,0,0,12,0,1
"ENSG00000270557.1",7,10,7,12,7,14,7,1,17
"ENSG00000251980.1",0,11,1,2,4,0,3,0,5
"ENSG00000271320.1",0,12,3,9,7,0,10,2,9
"ENSG00000228937.1",0,1,0,0,0,0,0,0,0
"ENSG00000212410.1",0,0,0,0,0,0,0,0,1
"ENSG00000231158.1",0,0,0,0,0,0,1,0,0
"ENSG00000237327.1",0,0,0,0,0,0,0,0,0
"ENSG00000227480.2",0,0,0,0,0,0,0,0,0
"ENSG00000153237.17",12,148,86,109,93,179,113,28,89
"ENSG00000234890.1",0,0,0,0,0,0,0,0,0
"ENSG00000243723.3",0,1,2,0,4,5,3,0,0
"ENSG00000144283.21",865,2640,2249,2146,3331,3116,2129,2671,2633
"ENSG00000227331.1",14,36,23,31,55,0,37,10,31
"ENSG00000204380.4",0,0,0,3,0,0,4,0,1
"ENSG00000228586.1",0,0,0,0,0,0,0,0,0
"ENSG00000231675.1",0,0,0,0,0,0,0,0,0
"ENSG00000163331.11",113,220,3,17,103,0,33,5,355
"ENSG00000243792.1",0,0,0,0,0,0,0,0,0
"ENSG00000251491.2",0,0,0,4,0,0,0,0,7
"ENSG00000188668.4",0,0,0,0,0,0,0,0,0
"ENSG00000222300.1",0,0,0,0,0,0,0,0,0
"ENSG00000115183.14",1143,3134,3385,2293,3805,3196,2131,4100,2569
"ENSG00000213189.5",3,5,14,1,6,2,6,8,13
"ENSG00000202029.1",0,0,0,0,0,0,0,0,0
"ENSG00000226878.2",0,0,0,0,0,0,0,0,0
"ENSG00000275141.1",0,1,0,6,0,0,1,0,2
"ENSG00000196151.10",51,401,454,388,484,328,226,318,422
"ENSG00000123636.17",1524,5444,3615,5361,5723,8766,4681,3522,5638
"ENSG00000223642.7",0,0,0,0,0,0,0,0,0
"ENSG00000270893.1",0,0,0,0,0,0,0,0,0
"ENSG00000225369.1",0,0,0,0,0,0,0,0,0
"ENSG00000207117.1",0,31,22,28,30,25,13,11,17
"ENSG00000224152.1",16,66,29,66,70,51,41,47,76
"ENSG00000226266.6",6,37,47,57,58,102,41,22,50
"ENSG00000230783.1",2,11,11,7,6,5,6,4,4
"ENSG00000136536.14",566,4481,4349,3712,5783,6275,3571,3558,4564
"ENSG00000241399.6",166,1395,2370,1238,1978,3421,1112,1054,1245
"ENSG00000248672.5",0,0,0,1,0,0,0,0,0
"ENSG00000054219.10",12,100,44,61,49,66,43,23,161
"ENSG00000227055.1",10,2,0,2,0,0,3,0,3
"ENSG00000153246.12",323,630,1518,797,1089,1896,638,367,590
"ENSG00000115221.11",447,766,223,1085,544,342,466,171,1778
"ENSG00000285155.1",0,9,4,2,1,0,2,3,3
"ENSG00000285373.1",0,7,2,9,1,0,1,0,3
"ENSG00000153250.19",500,1529,604,1454,1107,1035,1238,499,1726
"ENSG00000283734.1",0,0,0,0,0,0,0,0,0
"ENSG00000279844.1",0,0,0,0,0,0,0,0,0
"ENSG00000244372.3",0,0,0,0,0,0,0,0,0
"ENSG00000232337.1",0,0,0,0,0,0,0,0,0
"ENSG00000224467.1",0,0,0,0,0,0,1,0,0
"ENSG00000136560.13",304,1050,893,856,1272,1457,721,524,1101
"ENSG00000235724.8",0,0,0,0,0,0,2,0,3
"ENSG00000227403.1",1,86,0,93,104,1,57,61,47
"ENSG00000225813.1",0,0,0,0,0,0,5,0,0
"ENSG00000115233.11",169,1351,1418,1331,1927,1565,937,1071,1342
"ENSG00000232320.6",3,6,5,2,3,0,1,0,0
"ENSG00000271924.1",0,0,0,1,0,0,3,2,5
"ENSG00000136535.14",0,0,5,0,0,0,0,0,0
"ENSG00000224076.5",0,0,0,0,0,0,0,0,0
"ENSG00000251621.1",0,0,0,0,0,0,0,0,0
"ENSG00000144290.16",0,15,26,38,41,38,15,5,143
"ENSG00000280105.1",0,0,0,0,0,0,0,0,0
"ENSG00000226121.2",19,12,23,19,24,4,12,21,15
"ENSG00000238570.1",0,0,0,0,0,0,0,0,0
"ENSG00000226946.1",0,0,0,0,0,0,0,0,0
"ENSG00000235716.1",0,0,0,0,0,0,0,0,0
"ENSG00000234732.1",0,0,0,0,0,0,0,0,0
"ENSG00000197635.9",639,12087,11417,11014,24418,11743,6831,13396,16054
"ENSG00000230918.1",1,112,96,139,218,9,86,21,178
"ENSG00000231445.1",0,7,0,12,4,0,2,3,14
"ENSG00000224674.1",0,0,0,0,0,0,0,0,0
"ENSG00000233397.2",0,0,6,1,9,0,1,1,7
"ENSG00000115263.14",0,0,0,1,4,9,6,0,14
"ENSG00000236841.7",1,9,19,212,122,308,151,19,587
"ENSG00000078098.13",4,3,57,14,3,138,39,78,36
"ENSG00000115267.6",658,1138,1155,972,1467,2076,745,899,1146
"ENSG00000115271.10",69,396,612,381,722,540,291,572,424
"ENSG00000184611.11",0,0,0,0,1,0,1,0,0
"ENSG00000212312.1",0,0,0,0,0,0,0,0,0
"ENSG00000237750.2",0,0,0,0,0,0,0,0,0
"ENSG00000230282.1",0,0,0,0,0,0,0,0,0
"ENSG00000200902.1",0,0,0,0,0,0,0,0,0
"ENSG00000182263.13",25,223,347,175,332,641,246,250,131
"ENSG00000237844.1",0,0,0,1,0,0,3,0,0
"ENSG00000226847.1",0,0,0,0,0,0,0,0,0
"ENSG00000229641.1",0,0,0,0,0,0,0,0,0
"ENSG00000115290.9",8,9,18,10,29,58,15,58,18
"ENSG00000277998.1",2,9,10,8,5,16,4,12,11
"ENSG00000082438.15",983,5724,7665,6084,10970,17266,4573,6569,8401
"ENSG00000224331.2",6,15,20,33,31,0,35,32,50
"ENSG00000206869.1",0,1,5,7,8,0,5,7,17
"ENSG00000236283.4",28,16,51,52,81,145,34,111,76
"ENSG00000199508.1",0,0,0,0,0,0,0,0,0
"ENSG00000223318.1",0,0,0,0,0,0,1,19,0
"ENSG00000169507.9",54,106,450,332,396,1177,407,2899,439
"ENSG00000153253.16",5,3,5,55,7,36,21,11,30
"ENSG00000136531.15",24,73,28,31,19,99,47,124,95
"ENSG00000233204.1",0,0,0,0,0,0,1,2,3
"ENSG00000178662.15",292,897,108,351,410,236,531,126,397
"ENSG00000115339.13",307,2161,4132,1872,4043,5700,911,2360,2080
"ENSG00000235192.1",4,12,31,27,21,7,16,28,33
