"","M_W_RNA6","N_W_RNA7","M_W_RNA12","N_W_RNA13","M_W_RNA14","N_W_RNA15","M_W_RNA16","M_W_RNA17","N_W_RNA18"
"ENSG00000231056.1",2,0,0,1,5,5,0,1,3
"ENSG00000111846.17",6194,7716,5779,10397,5837,10958,866,3027,6536
"ENSG00000237685.1",0,1,0,1,0,0,0,19,6
"ENSG00000216359.1",0,0,0,2,0,2,0,0,0
"ENSG00000217181.1",0,0,0,0,0,0,0,0,0
"ENSG00000205318.5",30,23,41,18,13,18,1,12,20
"ENSG00000285763.1",1999,772,1292,391,263,465,171,437,703
"ENSG00000137434.11",17,23,0,16,7,24,5,20,5
"ENSG00000201048.1",0,0,0,0,0,0,0,0,0
"ENSG00000111845.4",9593,5672,7347,5117,3408,6816,919,4008,5881
"ENSG00000111843.13",1820,2680,1035,1950,1702,3537,1314,2042,2263
"ENSG00000272097.1",2,5,10,6,3,10,3,5,3
"ENSG00000137210.13",1258,1368,924,709,703,1612,970,997,796
"ENSG00000272162.1",0,0,0,0,0,0,0,0,0
"ENSG00000222383.1",0,0,0,0,0,0,0,0,0
"ENSG00000111837.11",453,28,414,42,35,90,29,14,102
"ENSG00000124827.6",0,0,0,0,0,0,0,0,0
"ENSG00000235051.3",1,3,0,1,3,1,0,1,0
"ENSG00000153157.12",8,12,19,51,55,274,375,24,16
"ENSG00000197977.3",2707,641,3905,1027,726,2762,513,194,216
"ENSG00000274541.1",0,0,0,0,0,0,0,0,0
"ENSG00000230314.6",24,3,16,5,2,5,6,1,3
"ENSG00000224531.5",611,656,463,303,334,526,418,469,472
"ENSG00000244476.2",6,3,0,0,1,4,0,0,1
"ENSG00000271245.1",0,0,0,0,0,0,0,0,0
"ENSG00000247925.2",0,1,0,4,3,2,0,0,4
"ENSG00000111859.16",6200,5814,1214,2461,3073,6089,4208,3972,3440
"ENSG00000233656.1",0,1,7,0,0,1,0,0,0
"ENSG00000242753.1",0,1,0,7,0,0,1,0,1
"ENSG00000202313.1",0,0,0,0,0,0,0,0,0
"ENSG00000218020.3",0,0,10,1,0,0,0,0,0
"ENSG00000205269.5",633,761,963,402,471,447,491,410,271
"ENSG00000271897.1",0,0,0,1,0,0,0,0,0
"ENSG00000277473.1",0,0,0,0,0,0,0,0,0
"ENSG00000207419.1",0,0,0,0,0,0,0,0,0
"ENSG00000111863.12",57,266,29,39,9,24,8,22,20
"ENSG00000234427.1",1,1,0,0,0,0,0,0,0
"ENSG00000215124.2",0,0,0,0,0,0,0,0,0
"ENSG00000225102.1",0,0,0,0,0,0,0,0,0
"ENSG00000229896.2",63,67,159,24,16,42,15,38,23
"ENSG00000095951.16",8004,5002,8070,3946,2693,5233,2652,2885,4073
"ENSG00000078401.6",181,378,105,149,77,71,95,233,149
"ENSG00000218893.1",0,0,0,0,0,0,0,0,0
"ENSG00000223321.1",0,0,0,0,0,0,0,0,0
"ENSG00000212802.4",20,28,4,13,4,15,47,19,12
"ENSG00000234015.1",0,0,0,1,0,0,0,0,0
"ENSG00000112137.17",46,64,68,56,64,46,25,38,83
"ENSG00000206702.1",4,1,0,8,4,1,1,0,2
"ENSG00000215022.7",12,17,26,35,22,42,16,27,33
"ENSG00000145979.17",293,308,155,285,261,373,244,302,277
"ENSG00000272379.1",3,3,17,28,4,12,10,7,8
"ENSG00000145990.10",196,306,147,272,156,179,115,276,233
"ENSG00000237786.1",0,0,0,0,1,1,0,0,0
"ENSG00000218265.1",0,0,0,7,1,1,0,0,3
"ENSG00000202351.1",0,0,0,0,0,0,2,0,1
"ENSG00000124523.15",296,446,323,315,250,328,271,445,360
"ENSG00000261071.1",13,21,0,10,9,13,15,2,9
"ENSG00000225921.6",1208,1188,1157,636,502,1036,718,834,749
"ENSG00000010017.12",3509,3655,2649,1928,1839,3327,1604,2035,2212
"ENSG00000050393.11",1025,1369,1004,695,702,1140,581,882,880
"ENSG00000272209.1",6,1,0,0,1,0,0,2,0
"ENSG00000180537.12",14,29,7,6,5,8,7,17,11
"ENSG00000220868.2",0,0,0,0,0,0,0,0,0
"ENSG00000233981.1",0,0,0,0,0,0,0,0,0
"ENSG00000112149.9",238,350,248,152,249,219,240,158,237
"ENSG00000285639.1",0,0,0,0,1,0,0,0,0
"ENSG00000238987.1",0,0,0,0,0,0,0,3,1
"ENSG00000230631.1",0,0,0,0,0,1,0,0,0
"ENSG00000226673.2",0,0,0,0,0,1,0,0,0
"ENSG00000237346.1",0,0,0,0,0,0,0,0,0
"ENSG00000234540.1",0,1,0,0,0,0,0,1,0
"ENSG00000229646.2",0,0,0,0,3,5,0,0,2
"ENSG00000206960.1",0,0,0,0,0,0,0,0,0
"ENSG00000234261.3",4,12,5,16,7,22,3,7,8
"ENSG00000216754.2",0,0,0,2,0,0,0,0,0
"ENSG00000242989.3",0,0,0,0,0,0,0,0,0
"ENSG00000271888.1",4,4,6,0,1,6,13,2,4
"ENSG00000008083.13",803,705,556,1045,711,1101,1021,517,736
"ENSG00000235488.1",0,1,0,1,1,0,5,0,0
"ENSG00000201367.1",5,4,0,11,1,7,6,4,6
"ENSG00000201519.1",0,0,0,0,0,0,0,0,0
"ENSG00000277411.1",0,0,0,0,0,0,0,0,0
"ENSG00000047579.19",251,268,484,341,246,311,185,229,300
"ENSG00000214027.3",0,3,0,0,0,0,0,0,0
"ENSG00000232947.1",0,0,0,0,0,0,0,0,0
"ENSG00000274212.1",0,0,0,0,0,0,0,0,0
"ENSG00000217585.1",0,0,0,1,0,0,0,0,0
"ENSG00000007944.14",991,1006,400,562,414,674,1097,928,571
"ENSG00000263712.1",5,1,0,1,1,0,3,5,4
"ENSG00000218073.1",0,0,0,0,0,0,1,2,0
"ENSG00000217078.1",0,0,0,0,0,0,0,0,0
"ENSG00000216364.1",0,0,0,2,0,0,0,0,0
"ENSG00000251831.1",0,0,0,0,0,0,0,0,0
"ENSG00000207193.1",0,0,0,0,0,0,0,0,0
"ENSG00000137198.9",3807,2432,1172,3087,1843,5010,1777,1780,3686
"ENSG00000282024.1",0,0,0,0,0,0,0,0,0
"ENSG00000124788.18",2677,2462,3091,3017,2178,3036,1307,2012,2720
"ENSG00000229931.1",9,9,0,25,9,15,8,14,18
"ENSG00000272341.1",65,73,119,115,95,119,33,82,103
"ENSG00000230873.8",1,0,0,0,1,2,2,0,2
"ENSG00000112183.14",73,91,1055,57,97,121,902,64,73
"ENSG00000219314.1",0,0,0,0,0,0,0,0,0
"ENSG00000112186.11",324,480,1052,328,392,352,705,294,346
"ENSG00000184612.8",0,1,0,0,0,1,1,0,2
"ENSG00000218359.1",0,0,0,0,0,0,0,0,0
"ENSG00000137414.5",2760,3012,4628,1146,1407,2290,1958,1906,1434
"ENSG00000124789.11",3450,3696,2314,2055,1789,2866,2489,2879,3260
"ENSG00000206881.1",0,0,0,0,0,0,0,0,0
"ENSG00000272269.1",5,16,0,8,8,4,4,6,4
"ENSG00000201415.1",0,0,0,0,0,0,0,0,0
"ENSG00000201442.2",0,0,0,0,0,0,0,0,0
"ENSG00000137177.19",4576,4236,4336,3921,2867,4918,2850,3514,3124
"ENSG00000220920.1",0,0,0,0,0,0,0,0,0
"ENSG00000187566.5",76,99,60,46,23,68,97,58,29
"ENSG00000137364.4",1215,1332,1246,621,624,1489,679,780,845
"ENSG00000165097.14",807,649,999,540,413,808,517,620,641
"ENSG00000124795.15",3740,4569,5081,2717,2665,3621,2800,3189,3267
"ENSG00000199715.1",0,0,0,0,0,0,0,0,0
"ENSG00000278102.1",0,0,0,0,0,0,0,0,0
"ENSG00000200681.1",0,0,0,0,0,0,0,0,0
"ENSG00000217414.2",15,1,0,0,0,0,2,0,1
"ENSG00000218976.2",35,4,0,0,5,2,1,1,0
"ENSG00000137393.9",19918,4014,3155,2246,2040,3729,3313,3229,4543
"ENSG00000283408.1",1,0,0,2,1,0,0,1,4
"ENSG00000207775.1",0,0,0,1,0,0,0,0,0
"ENSG00000217379.2",0,0,0,0,0,0,0,0,0
"ENSG00000231662.1",2,0,0,1,0,0,0,0,0
"ENSG00000228412.8",16,81,41,141,146,168,15,155,125
"ENSG00000218643.2",0,0,0,0,0,0,0,0,0
"ENSG00000201523.1",0,0,0,0,0,0,0,0,0
"ENSG00000214012.4",1,0,1,0,1,0,1,1,0
"ENSG00000217314.2",0,2,0,1,4,0,0,0,1
"ENSG00000200957.1",0,0,0,0,1,1,0,0,0
"ENSG00000172201.11",165,837,535,756,1175,1460,144,1144,417
"ENSG00000229700.1",0,3,0,2,1,1,0,5,0
"ENSG00000172197.10",371,423,322,243,243,513,169,656,334
"ENSG00000227803.2",0,0,0,1,4,2,0,2,2
"ENSG00000112242.14",403,631,382,256,177,323,529,298,544
"ENSG00000240869.3",211,400,13,89,1002,331,121,145,168
"ENSG00000224707.1",8,7,14,10,7,1,7,13,35
"ENSG00000222431.1",0,0,0,0,0,0,0,0,0
"ENSG00000201683.1",0,0,0,0,0,0,0,0,0
"ENSG00000145996.11",853,992,823,755,541,816,667,938,855
"ENSG00000225832.1",0,0,0,0,0,0,0,0,0
"ENSG00000233848.1",0,0,0,2,0,0,0,0,0
"ENSG00000252046.1",0,0,0,0,0,0,0,0,0
"ENSG00000227089.2",0,0,0,0,0,0,0,0,0
"ENSG00000280989.1",3,0,0,3,0,0,0,0,0
"ENSG00000231754.2",0,2,0,1,1,0,1,3,2
"ENSG00000283480.1",4,4,12,0,0,1,2,1,3
"ENSG00000124766.6",12817,1581,2542,1168,815,983,3289,994,873
"ENSG00000220771.2",0,1,0,0,1,0,0,0,0
"ENSG00000272168.6",56,192,86,342,144,154,127,119,134
"ENSG00000280443.1",1,8,0,4,5,0,0,2,0
"ENSG00000222515.1",3,0,0,16,4,2,0,4,3
"ENSG00000260455.1",0,0,0,0,0,0,0,0,1
"ENSG00000219404.2",0,0,0,0,0,0,0,0,0
"ENSG00000261568.1",0,0,0,0,0,0,0,0,0
"ENSG00000172179.11",0,0,0,0,0,0,0,0,0
"ENSG00000112273.6",1,0,0,0,0,0,0,0,0
"ENSG00000228772.2",0,0,0,0,0,0,0,0,0
"ENSG00000233358.2",0,0,0,0,0,0,0,0,0
"ENSG00000218476.2",0,0,0,0,0,0,0,0,0
"ENSG00000207394.1",0,0,0,0,0,0,0,0,0
"ENSG00000235743.1",0,0,0,0,0,0,0,0,0
"ENSG00000219453.1",0,0,0,0,0,0,0,0,0
"ENSG00000278128.1",0,0,0,0,0,0,0,0,0
"ENSG00000218512.2",0,2,0,0,0,1,0,0,0
"ENSG00000220748.2",0,0,0,0,0,0,0,0,0
"ENSG00000219582.3",0,0,0,0,0,0,1,0,1
"ENSG00000152954.11",0,1,0,1,0,2,1,0,11
"ENSG00000251830.1",0,0,0,0,0,0,0,0,0
"ENSG00000146038.11",241,377,4406,149,177,93,574,260,119
"ENSG00000146049.1",1,0,0,0,0,0,1,0,0
"ENSG00000202050.1",0,0,0,0,0,0,0,0,0
"ENSG00000124532.14",1000,1191,1109,758,654,940,922,908,788
"ENSG00000112293.14",59,97,156,136,215,137,49,130,67
"ENSG00000112294.12",1475,1367,1412,989,766,1340,990,1202,1065
"ENSG00000137261.13",27,150,21,54,53,81,19,102,35
"ENSG00000218186.2",0,0,0,0,0,1,0,0,0
"ENSG00000111802.13",2224,4465,2253,2128,2470,3204,1618,4054,2083
"ENSG00000112304.10",1153,1227,1309,532,579,1116,720,937,547
"ENSG00000272345.1",67,57,81,61,41,52,59,59,63
"ENSG00000112308.12",7097,7207,5355,5028,4191,7119,6607,6952,6300
"ENSG00000272402.1",12,5,0,3,4,5,2,4,1
"ENSG00000224164.1",0,0,0,0,0,0,0,0,0
"ENSG00000218806.2",0,0,0,0,0,0,0,0,0
"ENSG00000112312.9",300,1715,784,742,1111,846,377,2756,1671
"ENSG00000260286.3",0,0,0,0,0,0,0,2,0
"ENSG00000282804.1",0,0,0,0,0,0,0,0,0
"ENSG00000111913.18",189,1433,115,627,393,232,69,1156,1365
"ENSG00000217083.1",0,0,0,0,0,0,0,0,0
"ENSG00000214975.4",3,3,1,2,0,3,1,3,4
"ENSG00000220517.2",0,4,0,8,2,1,1,0,7
"ENSG00000244618.3",0,0,0,0,0,0,0,0,1
"ENSG00000229313.1",0,0,0,0,0,0,0,0,0
"ENSG00000223623.1",0,0,0,0,0,0,0,0,0
"ENSG00000168405.17",157,225,228,374,218,169,123,225,433
"ENSG00000285801.1",0,0,0,0,0,0,0,1,0
"ENSG00000219682.4",2,1,2,0,0,2,2,2,0
"ENSG00000262400.1",0,0,0,0,0,0,0,0,0
"ENSG00000217805.2",0,0,0,0,0,0,0,0,0
"ENSG00000219681.2",0,0,0,0,0,0,0,0,0
"ENSG00000271108.1",0,0,0,1,0,0,0,0,0
"ENSG00000216718.7",0,0,0,0,0,0,0,0,0
"ENSG00000213972.3",0,0,0,1,0,1,0,2,2
"ENSG00000079691.17",1544,1680,1306,1173,835,1464,1781,1193,1338
"ENSG00000207286.1",1,2,0,2,0,0,1,0,0
"ENSG00000207490.1",3,2,0,5,5,2,1,0,6
"ENSG00000079689.13",79,104,118,38,31,129,124,85,70
"ENSG00000217408.2",0,0,0,0,0,0,0,0,0
"ENSG00000164508.4",0,0,0,0,0,0,0,0,0
"ENSG00000146047.6",0,0,0,0,0,0,0,0,0
"ENSG00000178762.4",0,0,0,0,0,0,0,0,0
"ENSG00000216436.2",0,0,0,0,0,0,0,0,0
"ENSG00000146039.10",26,0,18,8,0,2,8,2,0
"ENSG00000124568.10",0,0,0,0,0,0,0,0,2
"ENSG00000124564.17",0,1,0,0,1,0,0,1,0
"ENSG00000242387.1",0,0,0,0,0,0,0,0,0
"ENSG00000277410.1",0,0,0,0,0,0,0,0,0
"ENSG00000112337.10",0,0,0,0,0,0,0,0,0
"ENSG00000112343.10",1776,2488,514,1792,1623,3205,885,2315,2198
"ENSG00000272558.1",1,0,0,0,0,0,0,0,0
"ENSG00000272462.2",205,180,114,100,58,185,82,99,83
"ENSG00000272810.1",2,5,0,5,0,0,1,3,1
"ENSG00000224447.1",0,0,0,0,0,0,0,0,0
"ENSG00000124610.4",3,15,21,11,15,15,4,9,16
"ENSG00000275714.1",23,19,9,20,16,25,34,11,27
"ENSG00000278637.1",40,77,0,33,29,23,61,22,15
"ENSG00000278705.1",283,438,41,283,180,281,385,283,265
"ENSG00000274267.1",161,172,89,46,38,41,327,28,90
"ENSG00000278463.1",31,22,9,22,14,8,46,13,8
"ENSG00000276410.3",71,85,29,65,28,27,34,26,55
"ENSG00000234816.2",1,3,0,3,0,0,0,2,4
"ENSG00000278272.1",90,59,35,43,13,13,100,20,31
"ENSG00000187837.3",5552,4184,3979,3175,1842,2852,4473,2853,2007
"ENSG00000010704.18",218,485,101,443,303,596,46,396,403
"ENSG00000197061.4",479,629,99,290,483,288,675,547,332
"ENSG00000187475.5",6,5,8,5,9,5,9,6,6
"ENSG00000180596.7",1904,1594,2741,1518,1039,1269,1375,991,769
"ENSG00000180573.9",3192,3672,5428,4145,2711,4226,2914,2827,2969
"ENSG00000168298.6",2485,2169,817,2180,1356,1702,1558,1193,1183
"ENSG00000158373.8",1353,1172,3675,1990,1184,1755,1311,826,791
"ENSG00000283064.1",4,4,52,2,12,1,8,7,1
"ENSG00000217159.2",7,0,3,4,0,1,4,6,1
"ENSG00000274290.2",328,270,530,833,565,450,276,280,258
"ENSG00000277157.1",292,539,12,215,205,269,88,283,210
"ENSG00000216331.2",0,1,0,0,1,1,0,3,0
"ENSG00000282988.2",37,42,198,227,112,71,201,46,40
"ENSG00000197409.7",0,0,0,0,0,0,0,0,0
"ENSG00000196866.2",0,0,0,6,0,0,4,0,1
"ENSG00000277224.2",367,274,760,453,184,283,434,178,175
"ENSG00000217275.2",87,19,290,55,36,41,48,20,16
"ENSG00000276966.2",1161,1377,749,939,575,1260,1492,901,829
"ENSG00000273802.2",817,676,1781,1533,520,829,1333,506,466
"ENSG00000277075.2",445,379,267,477,224,327,438,227,218
"ENSG00000277720.1",0,0,0,2,0,0,0,0,0
"ENSG00000274750.2",576,508,536,212,142,297,357,243,163
"ENSG00000218281.1",0,0,0,0,0,0,0,0,0
"ENSG00000124575.6",199,721,111,870,508,313,329,489,409
"ENSG00000274618.1",19,98,0,17,23,49,17,37,34
"ENSG00000275663.1",0,0,0,0,0,0,0,0,0
"ENSG00000277775.1",56,54,0,30,31,10,27,24,36
"ENSG00000275713.2",65,63,87,104,31,29,18,31,46
"ENSG00000273983.1",27,33,3,37,20,6,13,11,44
"ENSG00000218690.2",0,0,0,0,0,0,0,1,0
"ENSG00000278588.1",41,77,18,75,51,29,17,32,39
"ENSG00000158406.4",588,588,1503,536,360,457,923,432,345
"ENSG00000220875.1",1,0,0,0,0,0,0,0,0
"ENSG00000186470.13",532,789,715,516,289,510,266,747,801
"ENSG00000124508.16",313,362,414,301,240,340,151,250,357
"ENSG00000026950.16",941,1000,827,801,637,1072,609,865,897
"ENSG00000124549.14",56,149,96,163,91,106,32,134,140
"ENSG00000111801.15",560,479,881,372,302,487,336,554,489
"ENSG00000112763.16",412,724,571,482,568,685,347,571,670
"ENSG00000284688.1",0,0,0,1,0,1,0,0,0
"ENSG00000124557.12",0,0,0,0,0,0,0,0,0
"ENSG00000199289.1",0,0,0,0,0,0,0,0,0
"ENSG00000228223.3",181,586,158,510,649,622,135,607,428
"ENSG00000182952.4",942,1486,745,908,800,1278,620,1275,1171
"ENSG00000284607.1",0,0,0,0,0,0,0,0,0
"ENSG00000146109.4",499,549,146,359,276,441,425,385,326
"ENSG00000275846.1",2,3,0,9,7,2,1,4,3
"ENSG00000271071.1",0,0,0,0,0,0,0,0,0
"ENSG00000181315.10",731,1075,541,606,403,734,652,625,535
"ENSG00000285571.1",12,18,20,46,6,10,4,31,37
"ENSG00000261584.1",1,0,0,0,0,2,0,1,0
"ENSG00000241549.8",123,122,124,217,77,50,60,123,116
"ENSG00000243307.2",0,0,0,0,0,0,0,0,0
"ENSG00000224843.6",67,55,121,46,34,43,77,60,48
"ENSG00000272312.1",7,3,34,7,7,3,3,12,5
"ENSG00000220581.1",0,0,0,0,0,0,0,0,0
"ENSG00000216762.1",0,0,0,0,0,0,0,0,0
"ENSG00000219770.1",0,0,0,0,0,0,0,0,0
"ENSG00000222800.1",1,0,10,2,0,1,0,1,0
"ENSG00000272468.1",16,16,59,41,36,30,1,17,19
"ENSG00000124635.8",198,170,126,191,159,162,117,119,109
"ENSG00000196787.3",218,124,327,130,89,93,89,44,84
"ENSG00000276180.1",18,7,16,17,10,5,1,5,4
"ENSG00000197903.7",1356,923,1017,923,576,803,1359,540,515
"ENSG00000274997.1",115,67,26,130,44,31,101,26,51
"ENSG00000265565.1",3,0,0,13,2,6,1,1,1
"ENSG00000174572.3",0,0,0,1,0,0,0,0,0
"ENSG00000112812.15",6,80,0,101,97,169,30,153,139
"ENSG00000270935.1",0,0,0,0,0,0,0,0,0
"ENSG00000158553.4",0,0,0,0,0,1,0,1,1
"ENSG00000220758.4",0,0,0,0,0,0,0,0,0
"ENSG00000204789.4",74,486,241,560,560,645,283,831,504
"ENSG00000124613.8",140,158,214,219,167,216,229,219,150
"ENSG00000271755.1",11,15,0,15,4,7,7,12,9
"ENSG00000237154.2",2,3,0,0,4,0,3,2,1
"ENSG00000096654.15",667,822,894,457,412,644,581,599,501
"ENSG00000285849.1",0,0,0,0,1,0,0,0,0
"ENSG00000285703.1",0,0,0,1,0,0,0,0,0
"ENSG00000278332.1",0,0,0,0,0,0,0,0,0
"ENSG00000270666.1",0,0,0,0,1,0,0,0,0
"ENSG00000218347.2",0,0,0,0,0,0,0,0,0
"ENSG00000219738.2",0,0,0,0,0,0,0,0,0
"ENSG00000206671.1",0,0,0,0,0,0,0,0,0
"ENSG00000216676.2",0,0,0,0,0,0,0,0,0
"ENSG00000281706.2",2,3,0,33,18,4,3,7,16
"ENSG00000216915.2",1,0,0,9,0,1,0,1,1
"ENSG00000218069.2",0,0,0,0,0,1,2,0,0
"ENSG00000217862.2",0,0,0,0,0,0,0,0,0
"ENSG00000185130.5",49,49,5,24,25,29,92,20,42
"ENSG00000196747.4",129,62,49,42,26,25,181,26,37
"ENSG00000278828.1",234,94,174,82,28,67,237,37,77
"ENSG00000276368.1",76,29,121,11,22,12,77,12,37
"ENSG00000273703.1",53,46,68,34,31,21,80,15,33
"ENSG00000197238.4",14,8,10,3,6,10,17,3,4
"ENSG00000273542.1",1,1,0,1,4,1,2,7,3
"ENSG00000233822.4",173,108,94,69,60,95,212,54,70
"ENSG00000275221.1",26,35,20,62,13,24,24,17,11
"ENSG00000217646.1",1,0,4,0,0,0,0,0,2
"ENSG00000276903.1",35,14,19,16,6,7,40,5,19
"ENSG00000184357.4",236,121,231,79,83,37,346,41,88
"ENSG00000275379.1",26,17,10,15,5,4,17,7,9
"ENSG00000275126.1",12,10,0,8,7,8,4,3,10
"ENSG00000197153.4",5,20,0,1,5,6,9,16,12
"ENSG00000278677.1",0,0,0,0,0,0,1,1,0
"ENSG00000274641.1",55,38,4,18,17,10,117,12,15
"ENSG00000238610.1",0,0,0,0,0,0,0,0,0
"ENSG00000168131.4",0,0,0,0,0,0,0,0,0
"ENSG00000168126.3",1,0,13,0,2,1,10,0,2
"ENSG00000124657.1",3,0,28,4,2,1,17,0,3
"ENSG00000214374.2",0,0,0,0,0,0,0,0,0
"ENSG00000216629.1",0,0,0,0,0,0,0,0,0
"ENSG00000217539.2",0,1,0,1,0,0,1,0,2
"ENSG00000199851.2",0,0,0,0,0,0,0,0,0
"ENSG00000217315.1",0,0,0,0,0,0,0,0,0
"ENSG00000187763.3",0,0,0,0,0,0,2,0,0
"ENSG00000182477.5",3,0,0,1,3,0,0,1,0
"ENSG00000220721.2",0,0,0,0,0,0,0,0,0
"ENSG00000272009.1",35,32,50,15,7,23,23,12,20
"ENSG00000197279.3",117,90,203,46,57,87,78,88,81
"ENSG00000219891.2",11,12,10,13,12,19,21,14,8
"ENSG00000219392.1",0,0,0,0,0,0,0,0,0
"ENSG00000269293.2",88,86,41,52,42,66,47,50,44
"ENSG00000196812.4",289,268,397,124,96,176,335,202,166
"ENSG00000261839.1",2,1,0,3,0,4,10,10,3
"ENSG00000198315.10",1799,2485,1372,1624,1416,2035,1661,2021,1887
"ENSG00000226314.8",90,49,55,86,36,63,19,37,40
"ENSG00000280107.1",3,6,4,16,2,4,4,5,5
"ENSG00000216901.1",4,1,0,1,3,0,0,3,0
"ENSG00000218016.2",0,0,0,0,0,0,0,0,0
"ENSG00000176933.5",8,9,12,18,6,14,18,17,12
"ENSG00000137185.12",468,445,283,330,258,348,379,311,400
"ENSG00000187626.8",124,283,120,147,141,181,164,193,143
"ENSG00000189134.3",8,44,0,10,19,35,2,11,9
"ENSG00000197062.11",359,522,357,487,382,491,327,499,420
"ENSG00000276302.1",0,0,3,9,1,0,2,1,0
"ENSG00000137338.5",150,282,175,168,161,207,154,163,150
"ENSG00000273712.1",0,1,0,0,2,4,0,4,0
"ENSG00000270326.1",1,2,0,0,1,4,4,0,3
"ENSG00000235109.7",556,497,349,210,248,438,294,354,268
"ENSG00000189298.13",339,475,296,413,287,480,355,374,290
"ENSG00000158691.14",343,715,754,449,474,531,412,573,380
"ENSG00000251877.1",0,0,0,0,0,0,0,0,0
"ENSG00000187987.9",255,272,262,325,255,259,298,228,175
"ENSG00000231162.4",0,0,0,0,0,0,0,0,0
"ENSG00000219262.1",0,0,0,0,0,0,0,0,0
"ENSG00000198704.9",0,1,0,0,0,0,0,0,0
"ENSG00000224586.6",9,0,14,8,0,1,0,1,0
"ENSG00000232040.3",1114,545,2300,314,241,533,707,490,210
"ENSG00000246350.1",9,1,0,1,1,18,18,14,11
"ENSG00000271440.1",0,0,0,0,0,0,0,0,0
"ENSG00000235570.1",0,0,0,0,0,0,0,0,0
"ENSG00000237425.1",2,0,0,0,0,1,0,0,0
"ENSG00000235559.1",0,3,0,0,6,0,0,4,11
"ENSG00000225173.1",36,8,19,18,15,41,26,10,8
"ENSG00000225595.2",0,0,29,1,2,3,0,2,0
"ENSG00000213916.2",0,0,0,0,0,0,0,0,0
"ENSG00000233366.1",0,0,0,0,0,0,0,0,0
"ENSG00000224157.1",4,3,0,4,6,2,10,3,2
"ENSG00000204713.10",2255,2029,1385,1293,1047,1883,2179,1621,1971
"ENSG00000212240.1",0,0,0,0,0,1,0,0,0
"ENSG00000204709.4",2,1,0,0,1,1,0,0,0
"ENSG00000228666.1",0,2,0,0,0,1,0,2,0
"ENSG00000263426.2",2,3,0,125,7,59,1,0,9
"ENSG00000227214.2",48,39,25,42,43,45,39,34,41
"ENSG00000244349.1",21,10,14,4,8,11,12,12,5
"ENSG00000197935.6",126,159,160,149,72,158,131,184,130
"ENSG00000223677.1",0,0,0,0,0,0,0,0,0
"ENSG00000277661.4",0,0,3,1,0,7,0,0,0
"ENSG00000204704.2",0,0,0,0,0,0,0,0,0
"ENSG00000236909.1",0,0,0,0,0,0,0,0,0
"ENSG00000228364.1",0,0,0,0,0,0,0,0,0
"ENSG00000204703.5",0,0,0,0,0,0,0,0,0
"ENSG00000204702.5",0,0,0,0,2,2,0,0,1
"ENSG00000204701.2",4,0,12,7,4,12,7,2,3
"ENSG00000227206.1",0,0,0,0,0,0,0,0,4
"ENSG00000203492.4",0,0,0,0,0,0,0,0,0
"ENSG00000284656.1",0,0,0,0,0,0,0,0,0
"ENSG00000204700.5",4,1,0,4,2,6,1,2,0
"ENSG00000224233.1",0,0,0,1,2,0,0,0,1
"ENSG00000230598.2",0,0,0,0,3,1,1,0,0
"ENSG00000197171.6",1,0,0,2,0,11,0,1,1
"ENSG00000213911.2",0,0,0,0,0,0,0,0,0
"ENSG00000204697.3",0,0,0,0,0,0,0,0,0
"ENSG00000242524.1",0,0,0,0,0,0,0,0,0
"ENSG00000204695.4",1,1,0,3,0,5,1,1,2
"ENSG00000230056.1",0,0,0,0,0,0,0,0,0
"ENSG00000243729.4",0,0,0,0,0,0,0,0,0
"ENSG00000112462.8",0,0,0,0,0,0,0,0,0
"ENSG00000280236.3",0,0,0,0,3,1,1,0,0
"ENSG00000251608.2",0,0,0,0,0,4,0,0,1
"ENSG00000204694.11",0,0,0,0,0,0,0,0,0
"ENSG00000206474.8",0,0,0,2,0,0,0,0,1
"ENSG00000277881.1",0,0,0,0,0,0,0,0,0
"ENSG00000204688.9",1,1,0,0,0,1,1,0,0
"ENSG00000225797.2",0,0,0,0,1,0,0,0,0
"ENSG00000230164.1",1,0,0,3,0,0,0,0,0
"ENSG00000204687.4",0,5,0,1,0,0,0,0,1
"ENSG00000213900.2",0,3,0,0,2,3,0,7,1
"ENSG00000229274.1",0,1,0,0,0,0,0,0,0
"ENSG00000224582.6",0,0,0,0,0,0,0,0,0
"ENSG00000229281.1",0,0,0,0,0,0,0,0,0
"ENSG00000237988.5",0,1,0,0,1,2,0,0,3
"ENSG00000213886.3",25,39,0,8,22,4,41,4,32
"ENSG00000204681.10",243,544,214,1107,916,1117,119,429,917
"ENSG00000232173.2",0,0,0,0,0,0,0,0,0
"ENSG00000227609.2",0,0,0,0,0,0,0,0,0
"ENSG00000201330.1",0,0,0,0,0,0,0,0,0
"ENSG00000231301.1",0,0,0,0,0,0,0,0,0
"ENSG00000204657.4",0,0,0,0,0,0,0,0,0
"ENSG00000235238.1",1,4,5,2,0,1,2,3,4
"ENSG00000204655.11",0,0,0,1,0,0,0,0,0
"ENSG00000204644.9",2,3,3,22,23,2,3,62,39
"ENSG00000233916.1",0,1,0,2,5,0,3,3,4
"ENSG00000204642.13",229,383,138,517,394,484,223,336,637
"ENSG00000225864.1",0,0,0,0,0,0,3,0,1
"ENSG00000214922.9",20,59,10,118,76,62,20,58,51
"ENSG00000239257.1",0,0,0,0,0,0,0,0,0
"ENSG00000273340.1",7,6,15,28,15,15,7,13,15
