"","M_B_RNA1","M_B_RNA2","M_B_RNA4","M_W_RNA6","M_B_RNA8","M_B_RNA9","M_W_RNA12","M_W_RNA14","M_W_RNA16","M_W_RNA17","M_B_RNA19","M_B_RNA20"
"ENSG00000285928.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000213561.4",0,0,0,2,1,0,0,0,0,4,0,1
"ENSG00000251958.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000213560.4",0,0,0,0,0,1,0,1,1,3,0,1
"ENSG00000202263.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233333.2",0,0,0,0,0,0,0,0,0,0,3,0
"ENSG00000237413.5",0,0,0,2,0,1,7,0,0,1,3,0
"ENSG00000122420.9",10,6,0,919,133,46,333,91,33,264,420,126
"ENSG00000227556.1",0,0,0,1,0,0,0,0,0,0,2,0
"ENSG00000212308.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000137959.15",65,1631,185,208,184,562,343,249,102,689,37,566
"ENSG00000137965.10",103,596,144,286,290,340,342,273,113,528,61,461
"ENSG00000238015.2",4,0,0,0,0,0,0,0,1,3,0,2
"ENSG00000235400.1",0,0,1,0,0,0,0,0,0,1,0,1
"ENSG00000162618.13",87,65,33,226,243,163,249,333,172,176,56,278
"ENSG00000230787.1",0,0,1,1,0,0,0,0,0,0,1,0
"ENSG00000282898.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235011.2",0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000285462.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000232676.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000285409.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235756.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260322.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000277670.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236407.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225598.1",0,0,0,0,0,0,0,1,0,0,0,0
"ENSG00000213559.4",3,3,2,2,0,1,0,2,1,0,1,0
"ENSG00000227062.2",0,0,0,1,3,0,0,0,0,0,1,1
"ENSG00000234108.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000224326.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000234184.5",0,0,0,0,0,0,0,3,2,0,0,1
"ENSG00000227937.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229752.1",1,0,0,0,0,0,0,0,1,0,1,0
"ENSG00000235089.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000285179.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000223026.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000117114.19",1109,842,1271,4167,3987,1057,4278,2426,599,2291,269,3167
"ENSG00000224494.1",0,0,0,0,0,2,0,0,0,0,0,4
"ENSG00000227288.3",2,0,0,0,1,1,0,0,0,0,0,0
"ENSG00000227960.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000234953.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000242598.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236676.1",0,0,0,0,0,0,0,1,0,0,0,0
"ENSG00000234683.1",0,0,0,0,0,0,0,0,0,0,0,2
"ENSG00000215875.4",0,0,0,6,3,0,0,0,0,0,0,2
"ENSG00000233290.2",0,0,0,0,3,2,4,0,0,0,0,3
"ENSG00000230817.5",4,7,0,1,0,0,0,0,1,0,1,14
"ENSG00000236268.5",2,0,0,3,4,1,0,5,3,0,12,9
"ENSG00000285782.1",12,6,23,19,20,3,15,32,9,35,60,64
"ENSG00000231364.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233008.5",55,56,33,154,168,58,211,133,98,162,344,335
"ENSG00000237076.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000137941.16",492,212,611,1988,2237,612,1768,1022,900,2545,2183,1908
"ENSG00000233061.1",18,7,17,45,60,39,0,32,31,81,126,59
"ENSG00000229486.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000285201.1",0,0,0,0,0,1,0,0,0,0,4,0
"ENSG00000271576.1",6,7,17,21,29,5,12,24,14,20,16,53
"ENSG00000142875.19",518,265,638,5919,3376,581,4225,1812,3792,3442,2093,2275
"ENSG00000213540.3",4,25,0,10,20,10,3,33,15,26,33,29
"ENSG00000226970.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000199959.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000203943.8",4,10,0,55,103,5,64,32,362,166,32,56
"ENSG00000249237.5",5,0,0,1,4,1,0,4,16,11,0,7
"ENSG00000240520.6",0,5,0,10,14,1,5,4,9,23,22,11
"ENSG00000137976.7",4,47,49,270,66,4,269,72,210,308,70,39
"ENSG00000285361.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000117133.10",187,119,151,963,652,140,800,412,628,727,463,480
"ENSG00000174021.10",46,58,2,115,36,18,39,43,73,47,76,50
"ENSG00000285851.1",12,6,0,30,34,17,53,32,20,45,113,55
"ENSG00000122432.17",1,13,35,19,21,13,21,3,13,23,9,41
"ENSG00000117151.12",188,134,142,1305,1348,144,2159,648,424,781,2001,803
"ENSG00000284882.1",0,1,0,15,2,0,1,5,5,6,9,5
"ENSG00000285374.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000180869.4",0,0,0,2,0,0,0,0,0,0,0,0
"ENSG00000232622.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000117155.16",202,140,218,1186,959,213,1121,884,793,859,703,880
"ENSG00000285325.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000171517.5",1286,380,717,6445,3033,398,571,910,279,1298,4371,1175
"ENSG00000153898.12",37,38,69,14,75,80,33,33,481,15,218,80
"ENSG00000162643.12",6,18,0,1,22,21,43,15,13,32,11,37
"ENSG00000055732.12",11,21,1,23,22,25,59,41,105,41,13,45
"ENSG00000266110.1",0,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000280099.1",18,1,0,26,55,11,42,40,41,41,22,29
"ENSG00000097096.8",189,80,148,475,622,244,576,325,517,644,304,426
"ENSG00000162642.13",75,66,114,388,360,160,368,303,318,439,275,456
"ENSG00000223254.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000142867.13",153,119,86,1048,639,168,783,440,518,693,566,917
"ENSG00000223653.5",3,0,0,13,9,4,50,2,2,5,3,6
"ENSG00000153904.19",1357,640,669,8472,6207,512,10061,2071,4797,2822,5345,2198
"ENSG00000199459.1",0,0,0,12,22,1,29,7,10,2,21,7
"ENSG00000273264.1",1,0,0,10,5,0,11,1,3,0,2,3
"ENSG00000282057.1",23,1,0,81,45,46,47,60,23,38,45,56
"ENSG00000272691.1",0,0,0,0,0,0,0,0,0,0,1,0
"ENSG00000142871.16",260,377,197,2062,622,1104,1082,676,408,838,503,3427
"ENSG00000199934.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230285.1",0,0,0,0,0,0,0,1,0,0,0,0
"ENSG00000117174.10",156,90,137,621,710,206,1014,628,466,732,683,981
"ENSG00000171502.14",9,0,14,13,25,10,47,53,23,38,14,52
"ENSG00000201620.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229505.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000285210.1",3,0,0,5,18,1,16,5,7,37,2,36
"ENSG00000122417.15",309,259,218,965,1825,537,2729,1439,837,3094,1627,2412
"ENSG00000278281.1",0,0,0,0,0,1,0,1,0,3,2,6
"ENSG00000231349.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000137975.7",27,108,17,3,161,3,24,23,4,733,2,1623
"ENSG00000016490.15",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000016602.9",48,1,7,5,141,3,62,22,10,738,1,934
"ENSG00000224466.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236915.2",0,0,0,1,0,9,0,6,0,12,1,21
"ENSG00000153923.10",2,0,0,0,0,0,0,1,0,3,2,0
"ENSG00000261737.1",2,0,0,7,2,1,10,6,2,20,5,14
"ENSG00000097033.14",766,607,594,2609,2764,676,3740,2241,1609,3281,1964,3349
"ENSG00000230721.1",3,1,0,0,0,0,0,1,0,2,0,0
"ENSG00000284846.1",0,0,0,0,0,0,0,0,0,0,0,1
"ENSG00000183291.16",871,473,841,3480,3749,484,4363,2063,2412,3317,2018,2671
"ENSG00000153936.16",250,128,172,1432,1377,243,2130,754,1472,1137,1124,1556
"ENSG00000267734.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000267561.2",0,0,0,0,1,1,0,1,6,3,2,10
"ENSG00000235251.2",0,0,0,1,0,0,0,0,1,0,0,0
"ENSG00000225568.1",5,0,0,12,0,6,0,2,3,8,16,12
"ENSG00000267272.5",0,0,0,10,2,7,0,16,8,8,5,5
"ENSG00000284240.1",0,0,0,0,0,0,0,0,2,8,0,0
"ENSG00000143013.12",215,165,481,468,509,160,565,705,501,651,328,867
"ENSG00000227290.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000199318.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237505.7",1,0,0,6,6,7,33,4,6,5,0,12
"ENSG00000279778.1",0,0,0,0,0,0,0,0,4,0,0,1
"ENSG00000270507.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000239504.3",0,0,0,0,2,0,0,1,0,0,0,6
"ENSG00000230053.2",0,0,0,0,0,0,0,1,0,0,0,0
"ENSG00000274321.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237959.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000065243.19",867,660,737,3406,3997,900,4455,2654,2590,4587,2782,4108
"ENSG00000207234.1",0,0,0,3,8,2,0,3,3,10,12,8
"ENSG00000241975.1",20,2,7,19,29,22,39,38,42,61,61,52
"ENSG00000137947.11",189,175,62,882,649,177,611,401,539,710,414,734
"ENSG00000235308.1",0,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000137944.17",226,193,161,1317,987,184,534,607,810,977,923,1029
"ENSG00000213516.9",460,311,323,2654,1318,310,1116,898,821,1344,1185,1329
"ENSG00000117226.11",346,489,113,830,1103,200,602,748,376,1050,67,2010
"ENSG00000202385.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000117228.9",393,490,242,417,455,343,874,686,259,625,92,2108
"ENSG00000234518.2",22,1,7,21,24,17,25,36,13,33,9,49
"ENSG00000162645.12",475,374,543,530,842,602,964,1032,577,1585,154,2211
"ENSG00000213512.2",0,0,0,1,5,0,0,5,0,0,0,0
"ENSG00000162654.8",333,158,270,350,554,322,681,904,408,930,88,1497
"ENSG00000284734.1",0,0,6,1,0,0,27,1,1,8,0,9
"ENSG00000284637.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000154451.14",51,33,28,44,64,109,228,105,114,64,27,269
"ENSG00000237568.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000238081.1",0,0,0,0,0,0,0,0,0,0,0,1
"ENSG00000233235.1",0,0,0,0,0,0,0,0,0,1,0,2
"ENSG00000183347.14",7,7,0,0,10,1,7,9,0,9,0,25
"ENSG00000215874.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225492.6",20,51,23,8,48,28,121,36,15,26,6,109
"ENSG00000197147.13",514,299,365,2861,2158,266,2730,1006,2260,1915,1992,1818
"ENSG00000231999.6",2,2,0,2,8,1,0,11,0,9,9,12
"ENSG00000230735.1",0,0,0,7,1,1,0,10,4,6,6,9
"ENSG00000171488.14",34,38,8,168,186,91,282,243,149,260,103,404
"ENSG00000271949.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000226394.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231613.1",0,0,0,0,0,0,0,1,1,0,1,1
"ENSG00000272931.1",1,0,0,3,0,0,0,0,4,1,3,4
"ENSG00000171492.14",200,133,90,421,373,100,689,225,922,445,606,469
"ENSG00000272672.1",1,0,0,0,0,0,0,0,1,0,2,3
"ENSG00000252797.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228175.3",5,12,0,19,8,3,6,2,7,2,15,12
"ENSG00000162664.16",278,214,108,1104,1340,296,2145,1056,907,1428,1259,1674
"ENSG00000212459.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229201.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000199666.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000143032.7",0,0,1,0,0,0,0,0,9,0,0,0
"ENSG00000233593.8",12,14,1,19,9,2,44,25,73,20,14,42
"ENSG00000285532.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225446.2",0,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000272094.1",0,0,0,0,4,0,0,0,1,1,0,0
"ENSG00000232882.1",9,8,1,8,3,1,13,5,1,3,16,2
"ENSG00000122482.20",925,578,628,3137,3610,736,5427,2711,3763,3942,2689,4420
"ENSG00000232393.1",2,0,1,0,0,0,0,0,0,0,1,0
"ENSG00000162669.15",29,22,48,31,37,64,51,71,161,146,16,238
"ENSG00000206817.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000215873.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000097046.12",17,21,0,144,127,15,188,96,147,67,78,169
"ENSG00000241318.3",2,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000229067.1",1,0,2,0,0,0,0,0,0,0,0,0
"ENSG00000203914.4",0,0,1,1,1,0,3,0,0,0,2,1
"ENSG00000069702.10",545,688,633,912,1266,378,588,1221,699,1112,658,1675
"ENSG00000239794.3",0,1,0,8,7,7,0,5,1,4,2,11
"ENSG00000137948.18",0,0,1,3,5,0,0,0,0,1,0,1
"ENSG00000172031.6",4,0,0,5,3,1,58,5,8,17,0,4
"ENSG00000233228.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230667.5",2,0,3,1,0,0,0,1,1,0,1,0
"ENSG00000189195.12",193,119,229,634,893,210,1280,534,423,1006,353,781
"ENSG00000224678.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233401.1",0,3,23,1,5,7,0,2,4,13,13,12
"ENSG00000273487.1",1,0,22,0,0,3,13,2,0,2,3,7
"ENSG00000226773.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000203910.8",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233125.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000174842.16",58,24,117,334,344,56,342,293,335,473,295,388
"ENSG00000122484.8",618,494,376,1914,2001,621,3666,1676,1375,2365,2030,1929
"ENSG00000242764.3",0,0,0,0,3,0,0,0,1,0,0,0
"ENSG00000162676.11",7,10,31,36,40,17,38,22,12,33,46,46
"ENSG00000067208.14",555,385,537,2465,2147,653,3528,1471,1159,2002,1963,1823
"ENSG00000223787.2",11,0,0,20,29,6,85,13,10,27,34,27
"ENSG00000229992.1",10,10,0,25,22,25,48,28,11,31,36,27
"ENSG00000201317.1",0,0,0,2,6,3,27,1,1,3,2,4
"ENSG00000225505.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000234202.2",1,0,0,5,9,0,2,1,1,1,11,2
"ENSG00000223896.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000122406.13",6136,4474,5221,18930,12848,2816,21416,9133,33737,17570,13668,15660
"ENSG00000154511.11",116,95,131,485,363,59,774,343,276,421,71,307
"ENSG00000206680.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207523.1",13,30,10,100,152,532,118,359,71,49,191,88
"ENSG00000207022.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229052.2",0,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000252121.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000239710.3",2,1,0,0,0,1,0,13,0,0,0,0
"ENSG00000252752.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000222664.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000251837.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000143033.17",226,232,242,696,1166,312,794,762,1033,1052,913,1330
"ENSG00000117500.12",547,323,260,4360,3859,400,8640,1773,2026,2839,2896,2130
"ENSG00000122483.17",36,41,22,202,210,114,729,226,134,217,286,334
"ENSG00000237003.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225297.1",0,0,0,0,0,0,0,1,0,0,0,1
"ENSG00000223745.7",208,174,119,353,369,326,302,354,320,658,511,483
"ENSG00000229567.1",2,0,1,2,24,7,34,10,4,16,9,26
"ENSG00000117505.12",460,428,297,2721,2575,478,3226,1732,1698,2176,1900,2712
"ENSG00000229635.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207379.1",0,0,0,0,0,0,0,0,0,0,1,1
"ENSG00000137942.16",1358,1114,926,5185,5169,911,13285,2102,4290,6310,6602,3636
"ENSG00000212601.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000137936.17",205,125,235,211,545,151,336,267,165,738,958,566
"ENSG00000224093.5",6,0,0,21,14,9,6,2,10,10,119,13
"ENSG00000211575.3",3,0,0,3,0,0,0,1,0,0,1,0
"ENSG00000260464.1",2,6,0,18,13,9,6,10,2,16,11,9
"ENSG00000067334.13",428,293,431,2142,1404,341,2431,1048,1365,1950,1184,1618
"ENSG00000023909.9",108,68,39,1006,587,109,1277,403,367,716,758,598
"ENSG00000223490.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000234099.1",0,0,0,0,0,0,0,0,0,0,1,0
"ENSG00000235794.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000232752.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229842.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000250890.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236689.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000226960.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233129.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000198691.12",6,2,11,6,14,1,0,8,3,11,2,12
"ENSG00000233482.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000137962.12",1066,493,682,7011,4335,994,4221,2523,3805,2931,5949,3813
"ENSG00000264963.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000226835.2",0,10,0,0,0,0,0,0,0,3,6,1
"ENSG00000178596.10",0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000236098.1",0,0,0,1,8,0,0,0,0,0,0,0
"ENSG00000232918.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000117528.12",575,448,359,2622,2757,366,3145,1335,1440,3178,1838,2217
"ENSG00000117525.13",766,1060,1186,8219,5958,1426,1702,3816,3434,6781,674,3261
"ENSG00000223675.1",0,0,0,4,0,0,0,1,0,0,0,0
"ENSG00000224081.8",31,73,23,82,150,89,117,156,101,322,99,147
"ENSG00000232857.2",0,0,0,3,11,0,6,6,0,10,6,10
"ENSG00000263526.1",8,0,0,0,1,0,0,2,2,5,1,2
"ENSG00000143036.16",162,99,80,478,632,65,265,279,658,714,254,354
"ENSG00000117519.15",1135,920,972,2828,4129,1085,5283,2868,1726,5668,8225,3354
"ENSG00000235501.5",31,45,104,54,56,14,83,71,23,97,73,50
"ENSG00000172339.9",77,83,84,590,343,79,814,195,315,297,368,191
"ENSG00000230427.1",0,0,0,0,0,0,0,0,0,0,1,0
"ENSG00000152078.9",131,54,68,1616,1117,197,2245,463,926,857,488,536
"ENSG00000271092.5",0,0,0,10,25,2,11,15,18,20,8,21
"ENSG00000231992.1",5,0,0,9,20,1,6,8,12,6,14,11
"ENSG00000206679.1",0,0,0,0,0,0,0,0,0,0,1,0
"ENSG00000226026.5",5,3,20,47,31,25,32,10,22,15,15,23
"ENSG00000122481.16",24,10,21,70,127,21,143,41,112,106,142,108
"ENSG00000228852.6",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228504.1",0,0,0,0,0,0,0,0,0,0,0,1
"ENSG00000230434.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237954.7",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233907.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228971.2",0,0,0,3,5,0,0,1,0,3,0,0
"ENSG00000271252.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237435.9",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000200800.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231987.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225923.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000234422.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228502.1",56,29,36,18,15,11,34,11,59,30,24,42
"ENSG00000241992.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000234226.5",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000137970.7",115,83,92,75,38,37,52,32,215,65,64,59
"ENSG00000223229.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000117569.18",197,188,198,755,1029,298,1721,958,880,1205,960,1309
"ENSG00000188641.13",255,284,290,418,738,398,867,716,298,1076,104,1139
"ENSG00000232878.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000232542.1",0,5,0,0,4,1,0,2,1,6,0,8
"ENSG00000228057.1",1,2,3,6,5,0,2,4,4,1,4,1
"ENSG00000226128.1",0,0,0,0,0,0,4,0,0,0,0,0
"ENSG00000230718.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235777.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000270911.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225206.9",0,0,0,2,0,0,5,1,0,1,0,0
"ENSG00000259946.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284247.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284202.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000285922.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233557.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000226053.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000280040.1",0,0,0,0,3,0,0,0,0,2,0,10
"ENSG00000162627.16",178,119,89,238,347,114,339,325,233,503,47,614
"ENSG00000117598.11",0,0,0,0,0,0,0,1,0,5,0,0
"ENSG00000232825.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227034.1",0,0,0,2,11,0,2,0,10,2,4,2
"ENSG00000117600.12",7,0,0,17,19,11,26,9,14,3,5,66
"ENSG00000233983.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000224445.3",0,0,0,0,0,0,0,1,0,0,4,0
"ENSG00000099260.10",466,305,278,1713,1563,498,1176,993,543,602,1364,1223
"ENSG00000223656.1",0,0,0,0,1,1,0,2,0,1,1,1
"ENSG00000156869.13",111,64,108,267,422,38,208,234,244,594,339,397
"ENSG00000201491.1",0,0,0,0,0,0,3,0,0,0,0,0
"ENSG00000202254.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231996.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000162688.16",944,794,665,3763,3854,582,4547,2811,3046,4023,1845,3696
"ENSG00000228084.1",8,10,13,60,28,10,19,27,74,26,42,33
"ENSG00000117620.14",524,457,566,4310,4064,466,6116,1951,2617,3226,3233,2446
"ENSG00000283761.1",5,6,14,22,43,11,64,19,17,38,46,32
"ENSG00000212248.1",0,0,0,11,3,0,2,3,1,2,4,4
"ENSG00000202259.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000156875.13",14,19,4,66,44,31,44,63,36,29,35,31
"ENSG00000241073.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000156876.9",81,62,40,370,326,72,989,210,490,310,330,337
"ENSG00000226952.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000122435.9",132,56,58,673,852,219,1117,579,614,934,649,1070
"ENSG00000122477.12",2,8,0,51,49,16,46,19,18,22,72,30
"ENSG00000137992.14",816,535,290,3324,2627,530,3058,1707,2022,2689,1909,1935
"ENSG00000271415.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225169.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000285530.1",0,0,0,2,0,0,0,0,0,0,0,1
"ENSG00000230287.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000224616.2",25,33,30,118,104,35,52,80,41,91,70,105
"ENSG00000137996.12",288,239,315,1238,1242,229,1959,723,802,999,972,795
"ENSG00000207750.1",2,0,0,20,10,8,37,31,11,24,37,26
"ENSG00000215871.2",0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000223906.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000079335.19",275,241,335,2061,1018,247,893,776,901,1429,444,1680
"ENSG00000234332.1",0,0,0,1,1,0,0,0,0,2,0,0
"ENSG00000228086.1",0,4,0,6,4,1,0,0,1,2,7,0
"ENSG00000181656.6",6,0,0,4,7,0,16,2,0,50,8,12
"ENSG00000213421.4",0,0,0,0,0,0,0,0,0,0,1,0
"ENSG00000230402.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000285525.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000224685.1",0,0,0,0,0,0,0,0,0,0,2,0
"ENSG00000162692.11",98,67,260,377,272,153,333,402,342,246,163,679
"ENSG00000162694.13",182,97,156,1358,1062,99,1454,465,478,689,1362,600
"ENSG00000273204.1",6,6,0,20,4,4,10,8,2,8,8,0
"ENSG00000162695.11",818,312,456,4066,3922,382,3932,1853,2538,3379,2805,2580
"ENSG00000230946.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000117543.20",100,148,46,437,340,75,933,234,667,465,333,418
"ENSG00000235795.1",3,2,12,13,13,0,10,15,5,11,18,8
"ENSG00000233184.6",35,27,16,40,129,21,83,65,63,155,72,118
"ENSG00000252765.1",0,0,0,0,0,0,0,0,2,0,0,0
"ENSG00000271578.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225938.1",0,2,0,0,0,1,8,1,2,1,0,0
"ENSG00000170989.9",82,104,0,201,180,208,89,210,96,199,59,149
"ENSG00000228399.1",1,0,0,0,1,0,6,0,0,3,0,1
"ENSG00000173810.9",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231671.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000226715.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000252530.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000183298.5",5,10,3,3,1,8,0,1,8,1,2,1
"ENSG00000118733.16",0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000252717.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000271277.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000162699.5",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233359.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230864.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000060718.21",0,1,0,10,8,8,26,8,40,16,1,0
"ENSG00000234257.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230759.1",0,0,0,0,0,0,0,0,0,0,0,0
